case,karyotype,type,K_beta,tail,Scale_Tail,Shape_Tail,Mean_C1,Mean_C2,Mean_C3,Mean_Tail,N,N_C1,N_C2,N_C3,N_Tail,NLL,pi_C1,pi_C2,pi_C3,pi_Tail,Variance_C1,Variance_C2,Variance_C3,Variance_Tail,AIC,BIC,entropy,ICL,size,reduced.entropy,reICL
./H043-DSX2,2:1,primary,1,TRUE,0.057471263,1.667344806,0.349324189,NA,NA,0.143590557,540,454,NA,NA,86,-694.5670494,0.828269594,NA,NA,0.171730406,0.002106935,NA,NA,Inf,-1371.134099,-1332.509977,35.45233191,-1297.057645,9,0,-1332.509977
./H043-DSX2,1:1,relapse,1,TRUE,0.056306305,1.496020484,0.464595804,NA,NA,0.169822394,9706,6931,NA,NA,2775,-8012.180085,0.6960914,NA,NA,0.3039086,0.004924611,NA,NA,Inf,-16006.36017,-15941.73568,872.5179161,-15069.21776,9,0,-15941.73568
./H043-DSX2,2:1,relapse,2,TRUE,0.056818181,3.136172377,0.314996037,0.697113303,NA,0.083416306,281,169,15,NA,97,-305.97960869999997,0.591591346,0.053206796,NA,0.355201858,0.003477242,0.002065356,NA,0.0019528,-587.95921739999994,-544.2989613,13.9561843,-530.342777,12,0.002020455,-544.2969409
./H043-GESMJV,1:1,primary,1,TRUE,0.090090089,1.857930186,0.511834472,NA,NA,0.195098737,5994,5434,NA,NA,560,-5089.615851,0.897853409,NA,NA,0.102146591,0.00665,NA,NA,Inf,-10161.2317,-10100.94507,303.7434945,-9797.201578,9,0,-10100.94507
./H043-GESMJV,2:1,primary,2,TRUE,0.090225563,2.688274977,0.796749232,0.402396892,NA,0.14366802,846,19,700,NA,127,-770.593443,0.023552749,0.81767074,NA,0.158776511,0.0129,0.00453,NA,0.0112,-1517.186886,-1460.300654,57.84336783,-1402.457286,12,8.374621022,-1451.926033
./H043-GESMJV,1:1,relapse,1,TRUE,0.09792401,1.880310137,0.512144563,NA,NA,0.209162091,6742,6150,NA,NA,592,-5409.75927,0.902857096,NA,NA,0.097142904,0.00753,NA,NA,Inf,-10801.51854,-10740.17353,387.918747,-10352.25479,9,0,-10740.17353
./H043-GESMJV,2:1,relapse,1,TRUE,0.098176717,1.325605467,0.402920496,NA,NA,0.399697198,1008,852,NA,NA,156,-837.6717819,0.813410886,NA,NA,0.186589114,0.005105867,NA,NA,Inf,-1657.343564,-1613.102053,163.7025017,-1449.399551,9,0,-1613.102053
./H043-GKS176,1:1,primary,1,TRUE,0.05118755,1.307316262,0.490814926,NA,NA,0.217750653,4706,3481,NA,NA,1225,-3988.684319,0.722989031,NA,NA,0.277010969,0.004222519,NA,NA,Inf,-7959.368638,-7901.259296,372.9375395,-7528.321756,9,0,-7901.259296
./H043-GKS176,1:1,relapse,1,TRUE,0.102529049,1.560359615,0.484876385,NA,NA,0.285499138,3877,3569,NA,NA,308,-2754.532697,0.908156336,NA,NA,0.091843664,0.00953,NA,NA,Inf,-5491.065394,-5434.700041,366.276196,-5068.423845,9,0,-5434.700041
./H043-KZWS,1:1,primary,2,TRUE,0.056306305,1.617426075,0.51142116,0.226104532,NA,0.147501523,45025,35590,5332,NA,4103,-39962.13282,0.78417053,0.108785951,NA,0.107043519,0.00338,0.00456,NA,Inf,-79900.26564,-79795.68596,5090.498495,-74705.18746,12,986.2431418,-78809.44282
./H043-KZWS,2:1,primary,2,TRUE,0.056390976,1.692795617,0.166804314,0.358797558,NA,0.137787243,6021,799,4951,NA,271,-7453.510745,0.126014675,0.813739356,NA,0.060245969,0.00266,0.00188,NA,Inf,-14883.02149,-14802.58539,766.844172,-14035.74121,12,232.8238667,-14569.76152
./H043-KZWS,1:1,relapse,1,TRUE,0.05118755,1.865492816,0.489135611,NA,NA,0.110330213,483322,152530,NA,NA,330792,-629738.1998,0.303142896,NA,NA,0.696857104,0.003507016,NA,NA,Inf,-1259458.4,-1259358.604,26207.52305,-1233151.081,9,0,-1259358.604
./H043-KZWS,2:1,relapse,1,TRUE,0.051154632,2.491659852,0.333052802,NA,NA,0.085448397,37289,16632,NA,NA,20657,-55897.39556,0.435205403,NA,NA,0.564794597,0.002073196,NA,NA,0.00596,-111776.7911,-111700.053,1997.905011,-109702.148,9,0,-111700.053
./H043-LNWEGT,1:1,primary,1,TRUE,0.106382978,1.356951305,0.502389875,NA,NA,0.404415164,5757,5510,NA,NA,247,-4039.522555,0.947238653,NA,NA,0.052761347,0.011,NA,NA,Inf,-8061.045111,-8001.121565,442.583851,-7558.537714,9,0,-8001.121565
./H043-LNWEGT,2:1,primary,1,TRUE,0.095238094,1.454539983,0.394754597,NA,NA,0.304764424,743,690,NA,NA,53,-653.5903967,0.913577591,NA,NA,0.086422409,0.00700596,NA,NA,Inf,-1289.180793,-1247.684529,86.72446979,-1160.960059,9,0,-1247.684529
./H043-LNWEGT,1:1,relapse,1,TRUE,0.077160493,1.320097457,0.494197563,NA,NA,0.31821362,4555,4281,NA,NA,274,-3958.498668,0.931062057,NA,NA,0.068937943,0.00693,NA,NA,Inf,-7898.997337,-7841.181509,236.8460645,-7604.335445,9,0,-7841.181509
./H043-N7LCPV,1:1,primary,1,TRUE,0.050125312,1.255848042,0.499803556,NA,NA,0.246043608,5877,5183,NA,NA,694,-7441.952201,0.87663706,NA,NA,0.12336294,0.00223,NA,NA,Inf,-14865.9044,-14805.79519,187.7248323,-14618.07035,9,0,-14805.79519
./H043-N7LCPV,2:1,primary,1,TRUE,0.05017921,1.891453101,0.34132565,NA,NA,0.106468443,411,294,NA,NA,117,-556.5830601,0.702242988,NA,NA,0.297757012,0.001516568,NA,NA,Inf,-1095.16612,-1058.998781,22.68510669,-1036.313675,9,0,-1058.998781
./H043-N7LCPV,1:1,relapse,1,TRUE,0.056306305,1.546818587,0.496895269,NA,NA,0.159277028,6494,5236,NA,NA,1258,-6670.511613,0.798441886,NA,NA,0.201558114,0.003277654,NA,NA,Inf,-13323.02323,-13262.01552,277.0849312,-12984.93059,9,0,-13262.01552
./H043-N7LCPV,2:1,relapse,1,TRUE,0.059055117,1.647721949,0.350616037,NA,NA,0.150228679,223,170,NA,NA,53,-277.5364768,0.745619664,NA,NA,0.254380336,0.00180472,NA,NA,Inf,-537.0729535,-506.4084076,16.81339666,-489.5950109,9,0,-506.4084076
./H043-NAFCCV,1:1,primary,1,TRUE,0.053625053,1.817920915,0.501522597,NA,NA,0.11918769,15435,10664,NA,NA,4771,-14885.80727,0.683358875,NA,NA,0.316641125,0.004,NA,NA,Inf,-29753.61453,-29684.815,737.8583954,-28946.9566,9,0,-29684.815
./H043-NAFCCV,2:1,primary,2,TRUE,0.053625053,1.817785261,0.689978833,0.341735264,NA,0.119198566,852,248,376,NA,228,-488.3198117,0.288403484,0.429219962,NA,0.282376554,0.0056694,0.002730825,NA,Inf,-952.6396235,-895.6685852,80.14020528,-815.5283799,12,10.72319077,-884.9453944
./H043-NAFCCV,1:1,relapse,1,TRUE,0.059358923,1.631494605,0.48536307,NA,NA,0.153356436,13577,4662,NA,NA,8915,-13984.99106,0.320394591,NA,NA,0.679605409,0.004660701,NA,NA,Inf,-27951.98211,-27884.33692,1301.58336,-26582.75356,9,0,-27884.33692
./H043-PWC258,1:1,primary,1,TRUE,0.056306305,1.093481486,0.506727764,NA,NA,0.658632045,6163,5382,NA,NA,781,-6282.184992,0.86381312,NA,NA,0.13618688,0.00349,NA,NA,Inf,-12546.36998,-12485.83311,349.5780189,-12136.25509,9,0,-12485.83311
./H043-PWC258,2:1,primary,1,TRUE,0.056306305,1.12862402,0.356009111,NA,NA,0.494065171,716,576,NA,NA,140,-795.784722,0.784370037,NA,NA,0.215629963,0.002197725,NA,NA,Inf,-1573.569444,-1532.406323,77.83509589,-1454.571227,9,0,-1532.406323
